name,latitude,longitude,description,type,eventdatestart,year,website
Geek.Kon,43.07381,-89.400001,"September 27-28, 2008 - UW Madison, Humanities Building
Madison, WI - 455 N Park St, Madison, WI 53706",past,9/27/2008,2008,http://www.geekkon.net/
Geek.Kon,43.047495,-89.373208,"October 23-25, 2009 - Sheraton Madison Hotel
Madison, WI - 706 John Nolen Dr, Madison, WI 53713",past,10/23/2009,2009,http://www.geekkon.net/
Daisho Con,44.540359,-89.576615,"November 19-21, 2010 - 1501 Northpoint Dr, Stevens Point, WI 54481",past,11/19/2010,2010,http://www.daishocon.org/
Anime Milwaukee,43.075164,-87.88143,"March 12-14, 2010 - University of Wisconsin-Milwaukee, Milwaukee, WI ",past,3/12/2010,2010,http://animemilwaukee.org/
Geek.Kon,43.087559,-89.522754,"September 3-5, 2010 - Madison Marriott West
Madison, WI - 1313 John Q Hammons Dr, Middleton, WI 53562",past,9/3/2010,2010,http://www.geekkon.net/
No Brand Con,44.811349,-91.498494,"April 15-17, 2011 - Plaza Hotel and Suites, Eau Claire, WI ",past,4/15/2011,2011,http://www.nobrandcon.org/p/
Daisho Con,43.571236,-89.770642,"November 18-20, 2011 - Kalahari Resort, 1305 Kalahari Dr, Wisconsin Dells, WI 53965",past,11/18/2011,2011,http://www.daishocon.org/
Anime Milwaukee,43.040879,-87.915044,"February 18-20, 2011 - Hyatt Regency Milwaukee / Frontier Airline Center, 333 W Kilbourn Ave, Milwaukee, WI 53203",past,2/18/2011,2011,http://animemilwaukee.org/
Geek.Kon,43.087559,-89.522754,"September 9-11, 2011 - Madison Marriott West
Madison, WI - 1313 John Q Hammons Dr, Middleton, WI 53562",past,9/9/2011,2011,http://www.geekkon.net/
No Brand Con,44.811349,-91.498494,"May 4-6, 2012 - Plaza Hotel and Suites, Eau Claire, WI ",past,5/4/2012,2012,http://www.nobrandcon.org/p/
Daisho Con,43.571236,-89.770642,"November 16-18, 2012 - 1305 Kalahari Dr, Wisconsin Dells, WI 53965",past,11/16/2012,2012,http://www.daishocon.org/
No Brand Con,44.811349,-91.498494,"April 12-14, 2013 - Plaza Hotel and Suites, Eau Claire, WI ",past,4/12/2013,2013,http://www.nobrandcon.org/p/
Daisho Con,43.571236,-89.770642,"November 22-24, 2013 - 1305 Kalahari Dr, Wisconsin Dells, WI 53965",past,11/22/2013,2013,http://www.daishocon.org/
Anime Milwaukee,43.040879,-87.915044,"February 15-17, 2013 - Hyatt Regency Milwaukee / Delta Center, 333 W Kilbourn Ave, Milwaukee, WI 53203",past,2/15/2013,2013,http://animemilwaukee.org/
No Brand Con,44.811349,-91.498494,"April 25-27, 2014- Plaza Hotel and Suites, Eau Claire, WI ",past,4/25/2014,2014,http://www.nobrandcon.org/p/
Daisho Con,43.571236,-89.770642,"November 21-23, 2014 - 1305 Kalahari Dr, Wisconsin Dells, WI 53965",past,11/21/2014,2014,http://www.daishocon.org/
Anime Milwaukee,43.040879,-87.915044,"February 14-16, 2014 - Hyatt Regency Milwaukee / Delta Center, 333 W Kilbourn Ave, Milwaukee, WI 53203",past,2/14/2014,2014,http://animemilwaukee.org/
SAGA Con,46.718753,-92.089451,"UW-Superior, 1605 Catlin Ave, Superior, WI 54882",past,,2014,https://www.uwsuper.edu/studentorgs/superior-alliance-of-gamers-and-associates-saga_studentorg796123
No Brand Con,44.811349,-91.498494,"April 24-26, 2015 - Plaza Hotel and Suites, Eau Claire, WI ",past,4/24/2015,2015,http://www.nobrandcon.org/p/
Anime Milwaukee,43.040879,-87.915044,"February 13-15, 2015 - Hyatt Regency Milwaukee / Wisconsin Center, 333 W Kilbourn Ave, Milwaukee, WI 53203",past,2/13/2015,2015,http://animemilwaukee.org/
Awesome Games Done Quick (AGDQ),38.933007,-77.427819,"January 4-10, 2015 - Hilton Washington Dulles, Herndon, Virginia -  13869 Park Center Rd, Herndon, VA 20171",past,1/4/2015,2015,https://en.wikipedia.org/wiki/Games_Done_Quick
Summer Games Done Quick (SGDQ),44.944643,-93.092608,"July 26-2 August, 2015 - Crowne Plaza St. Paul Riverfront, Saint Paul, Minnesota - 11 E Kellogg Blvd, St Paul, MN 55101",past,7/26/2015,2015,https://en.wikipedia.org/wiki/Games_Done_Quick
SAGA Con,46.718753,-92.089451,"UW-Superior, 1605 Catlin Ave, Superior, WI 54881",past,,2015,https://www.uwsuper.edu/studentorgs/superior-alliance-of-gamers-and-associates-saga_studentorg796123
No Brand Con,43.666119,-89.785855,"April 15-17, 2017 - Convetion held at The Chula Vista Resort, Wisconsin Dells, WI, ",past,4/15/2016,2016,http://www.nobrandcon.org/p/
Anime Milwaukee,43.040879,-87.915044,"March 11-13, 2016 - Hyatt Regency Milwaukee / Wisconsin Center, 333 W Kilbourn Ave, Milwaukee, WI 53203",past,3/11/2016,2016,http://animemilwaukee.org/
Awesome Games Done Quick (AGDQ),38.933007,-77.427819,"January 3-10, 2016 - Hilton Washington Dulles, Herndon, Virginia -  13869 Park Center Rd, Herndon, VA 20171",past,1/3/2016,2016,https://en.wikipedia.org/wiki/Games_Done_Quick
Summer Games Done Quick (SGDQ),44.97261,-93.27296,"July 3-9, 2016 - Hilton Minneapolis Downtown, Minneapolis, Minnesota - 1001 S Marquette Ave, Minneapolis, MN ",past,6/3/2016,2016,https://en.wikipedia.org/wiki/Games_Done_Quick
Youmacon,42.328371,-83.039967,"November 3-6, 2016 - Cobo Center & Renaissance Center, Detroit, MI - 400 Renaissance Drive
Detroit, Michigan 48243 USA",past,11/3/2016,2016,http://www.youmacon.com/
SAGA Con,46.718753,-92.089451,"UW-Superior, 1605 Catlin Ave, Superior, WI 54880",past,,2016,https://www.uwsuper.edu/studentorgs/superior-alliance-of-gamers-and-associates-saga_studentorg796123
No Brand Con,43.666119,-89.785855,"April 21-23, 2017 - Convetion held at The Chula Vista Resort, Wisconsin Dells, WI, ",upcoming,4/21/2017,2017,http://www.nobrandcon.org/p/
Anime Milwaukee,43.040879,-87.915044,"February 17-19, 2017, Hyatt Regency Milwaukee / Wisconsin Center, 333 W Kilbourn Ave, Milwaukee, WI 53203",upcoming,2/17/2017,2017,http://animemilwaukee.org/
Anime Central,41.978951,-87.861943,"May 19-21, 2017, Donald E Stephens Convention Center, 5555 N River Rd, Rosemont, IL 60018",upcoming,5/19/2017,2017,https://www.acen.org/
Awesome Games Done Quick (AGDQ),38.933007,-77.427819,"January 6-, 2017, Hilton Washington Dulles Airport, 13869 Park Center Road, Herndon, Virginia 20171",upcoming,1/6/2017,2017,https://gamesdonequick.com/
World 9 Gaming,47.834155,-87.349243,,logo,,,http://world9gaming.com/
World 9 Gaming,38.707643,-44.804688,,logo,,,http://world9gaming.com/
World 9 Gaming,37.322831,-141.132813,,logo,,,http://world9gaming.com/
World 9 Gaming,59.637663,-84.882813,,logo,,,http://world9gaming.com/
